,Source.Name,,created_at,,id,,like_count,quote_count,reply_count,retweet_count,,tweet,,CLEANED
126,FinancialTimesv3_0906.csv,,03/09/2020 15:15,,101,,5,1,0,3,,"RT @BondHack: This might be my favourite thing I've read this year: @FD's account of the hacking, intimidation and surveillance he faced wh…",,RT BondHack This might be my favourite thing Ive read this year FDs account of the hacking intimidation and surveillance he faced wh
124,FinancialTimesv3_0906.csv,,03/09/2020 15:30,,102,,9,3,0,3,,"Experts worry the long-term damage could be significant
https://t.co/aGRBFQT0LT",,Experts worry the longterm damage could be significanthttpstcoaGRBFQT0LT
122,FinancialTimesv3_0906.csv,,03/09/2020 16:30,,103,,10,1,3,3,,"The Trump administration said it would now require Chinese diplomats to seek permission before visiting US universities
https://t.co/15JHYCb7IC",,The Trump administration said it would now require Chinese diplomats to seek permission before visiting US universitieshttpstco15JHYCb7IC
121,FinancialTimesv3_0906.csv,,03/09/2020 17:00,,104,,13,1,0,3,,"A new co-working model is emerging. And it’s probably happening on a high street, or in a hotel lobby, near you https://t.co/LNalyX93I3",,A new coworking model is emerging And its probably happening on a high street or in a hotel lobby near you httpstcoLNalyX93I3
120,FinancialTimesv3_0906.csv,,03/09/2020 17:12,,105,,19,1,2,3,,Snap CEO @evanspiegel on Tik Tok sale: 'To be acquiring a really sophisticated tech product without engineering support or without the core technology is a really challenging task. We wish the acquirers the best of luck and we'll be watching what happens' https://t.co/FHafX2JhaX https://t.co/qlVBaDrEvE,,Snap CEO evanspiegel on Tik Tok sale To be acquiring a really sophisticated tech product without engineering support or without the core technology is a really challenging task We wish the acquirers the best of luck and well be watching what happens httpstcoFHafX2JhaX httpstcoqlVBaDrEvE
119,FinancialTimesv3_0906.csv,,03/09/2020 17:15,,106,,44,6,6,3,,Happening this Friday: LinkedIn founder @reidhoffman talks live to @johnthornhillft about Silicon Valley as a force for good – and how AI is going to revolutionise the world. Find out how you can join us: https://t.co/Egs8fz4WK7 #FTWeekendFestival https://t.co/AeUaWs2zmf,,Happening this Friday LinkedIn founder reidhoffman talks live to johnthornhillft about Silicon Valley as a force for good  and how AI is going to revolutionise the world Find out how you can join us httpstcoEgs8fz4WK7 FTWeekendFestival httpstcoAeUaWs2zmf
116,FinancialTimesv3_0906.csv,,03/09/2020 17:23,,107,,24,1,3,3,,RT @FTLifeArts: Happening in 5 minutes &gt;&gt; Time to rethink how we run public finances and markets? Former Greek finance minister @yanisvarou…,,RT FTLifeArts Happening in 5 minutes gtgt Time to rethink how we run public finances and markets? Former Greek finance minister yanisvarou
110,FinancialTimesv3_0906.csv,,03/09/2020 19:15,,108,,10,0,0,3,,RT @hannahkuchler: Pfizer's CEO said he is not going to put its 170 year reputation on the line: he will only submit a vaccine for approval…,,RT hannahkuchler Pfizers CEO said he is not going to put its 170 year reputation on the line he will only submit a vaccine for approval
109,FinancialTimesv3_0906.csv,,03/09/2020 19:30,,109,,7,2,1,3,,"Opinion: Even before Donald Trump gets his chance at a second term, a battle has begun over where the Republican party may turn after. The reason for this pre-emptive conflict is the inevitable expiration of Trumpism itself https://t.co/DheNRbcSyK",,Opinion Even before Donald Trump gets his chance at a second term a battle has begun over where the Republican party may turn after The reason for this preemptive conflict is the inevitable expiration of Trumpism itself httpstcoDheNRbcSyK
107,FinancialTimesv3_0906.csv,,03/09/2020 20:12,,110,,8,0,3,3,,"RT @FTLifeArts: Happening now: how to save the performing &amp; creative arts from the catastrophe of coronavirus? @LionelBarber, former FT edi…",,RT FTLifeArts Happening now how to save the performing amp creative arts from the catastrophe of coronavirus? LionelBarber former FT edi
